model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
38,1.0201639096542499,0.4798318671625519,1.0407344025610445,0.23023862074470083,0.7620714293729374,0.3559977837190082,0.39279687321960866,0.8736708896947927,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'absolute_error'}
39,0.996864755378,0.4591223408691813,0.9937393405148398,0.2107933238851967,0.7616515217821782,0.3572572045454545,0.420215538872895,0.8843402858366576,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'poisson'}
40,1.15288785256019,1.1640474235252511,1.3291504005808465,1.3550064042157752,0.879234000330033,0.8984009047107437,0.22452426170589557,0.2565245876266534,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'squared_error'}
41,1.0311680975793107,0.45265261076675234,1.0633076454653347,0.20489438603395702,0.7511336636963696,0.34950420239669416,0.3796268044303679,0.887576960761492,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'friedman_mse'}
42,1.201636263663761,1.236366211996344,1.4439297101518038,1.5286014101661884,0.9458901653465347,0.9636252576033059,0.1575577470123527,0.16127513475810118,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'absolute_error'}
43,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'poisson'}
44,1.15288785256019,1.1640474235252511,1.3291504005808465,1.3550064042157752,0.879234000330033,0.8984009047107437,0.22452426170589557,0.2565245876266534,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'squared_error'}
45,1.021982570388657,0.45265261076675234,1.0444483741782062,0.20489438603395702,0.7353219488448844,0.34950420239669416,0.3906300041575649,0.887576960761492,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'friedman_mse'}
46,1.201636263663761,1.236366211996344,1.4439297101518038,1.5286014101661884,0.9458901653465347,0.9636252576033059,0.1575577470123527,0.16127513475810118,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'absolute_error'}
47,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'poisson'}
48,1.150029982642577,1.1741374482386087,1.3225689609768863,1.3785987473562713,0.8939131277227723,0.9332196647107436,0.22836411815381064,0.24357975800026843,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'squared_error'}
49,1.077959627721135,0.45575278159851473,1.161996958996688,0.20771059793478347,0.7734623679867987,0.352132077768595,0.3220477913713341,0.8860317397959058,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'friedman_mse'}
50,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'absolute_error'}
51,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'poisson'}
52,1.150029982642577,1.1741374482386087,1.3225689609768863,1.3785987473562713,0.8939131277227723,0.9332196647107436,0.22836411815381064,0.24357975800026843,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'squared_error'}
