model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
0,0.9799150929714118,0.9625134906631214,0.9602335894331706,0.9264322197085066,0.753553350489892,0.7346448461110321,-0.08825714142352536,0.01175900358718407,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
14,0.8752152016709103,0.8050241582003277,0.7660016492358521,0.6480638952861462,0.6703300892739806,0.625669325728729,0.13187085486647532,0.3086992269998322,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}
15,0.736568293426024,0.43470926233529494,0.5425328508805254,0.1889721427600963,0.5616968620320477,0.34693853995435137,0.3851337258717219,0.7984202031377302,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.1, 'min_impurity_decrease': 0}
16,0.7520228319135627,0.4413745071184096,0.5655383397192946,0.194811455534019,0.5737715183488583,0.3519104694141308,0.3590610204422976,0.7921913089441721,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}
17,0.7534226747958469,0.4522000867374385,0.5676457268965285,0.2044849184453469,0.5760046527384297,0.3595709958790873,0.35667266497274674,0.7818724616255188,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}
18,0.8675953781274037,0.32199085694665147,0.7527217401480326,0.10367811195723899,0.6472959825416968,0.26797735978379966,0.1469213134854096,0.8894047956373332,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.5, 'min_impurity_decrease': 0}
19,0.8705590388836817,0.3266425637839106,0.7578730401820797,0.1066953644753261,0.6508818879198011,0.2698349978521488,0.14108321418190983,0.886186241088527,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}
20,0.877751145621814,0.34884426127711865,0.7704470736404069,0.12169231862597862,0.6728315845330828,0.2859915664525393,0.12683274236119324,0.870188735175292,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.5, 'min_impurity_decrease': 0.2}
21,1.050132615800397,0.3083615578126829,1.102778510767784,0.09508685033666456,0.7781237694348905,0.2593860981632253,-0.24980692506275326,0.8985692404437012,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0}
22,1.083956998257877,0.32248228798076894,1.1749627740722268,0.1039948260613116,0.7921349470677564,0.2682940738878723,-0.33161518599416584,0.8890669513189596,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}
23,1.0282134822894675,0.33918904235165265,1.057222965161833,0.1150492064514312,0.7528755599476155,0.2786526413703845,-0.19817766695026995,0.8772750558526131,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}
