model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
29,1.043673421054936,0.33964511638956285,1.089254209816514,0.11535880508727968,0.7687246262879789,0.27571611044973543,0.3966357438215853,0.9357213873641635,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'friedman_mse'}
30,1.4163244753911244,1.43276852938323,2.0059750195919435,2.0528256587909834,1.1079591819022456,1.114609946957672,-0.11115808844333563,-0.1438466723931202,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'absolute_error'}
31,1.4525984879794507,1.427109809090976,2.1100423672801862,2.036642407203682,1.2368428207397624,1.214918878968254,-0.1688035097458196,-0.13482926831042863,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'poisson'}
32,1.0094241620898035,0.436158413235932,1.0189371390107016,0.19023416143648605,0.7603475549537649,0.3379842284391534,0.4355860703303448,0.8940003932614641,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'squared_error'}
33,1.0220245705277113,0.43584878337054767,1.0445342227623526,0.18996416196558658,0.7688545729194187,0.33771422896825387,0.42140722643975914,0.8941508385732779,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'friedman_mse'}
34,1.0838854266050164,0.5392728200080632,1.1748076180067386,0.290815174399449,0.7857765678996037,0.3792864527777777,0.3492456414643784,0.8379560543323741,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'absolute_error'}
35,1.066815886571011,0.44342160185543683,1.1380961358402921,0.19662271699204156,0.7823839192866577,0.3421626765873015,0.3695810194972954,0.8904406520908843,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'poisson'}
36,1.0452532994516996,0.436158413235932,1.0925544600146644,0.19023416143648605,0.7780541026420079,0.3379842284391534,0.39480765540286333,0.8940003932614641,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'squared_error'}
37,1.0382485146208584,0.43584878337054767,1.077959978112419,0.18996416196558658,0.7768936825627477,0.33771422896825387,0.40289189197307695,0.8941508385732779,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'friedman_mse'}
38,1.0932209218290858,0.5364982532331306,1.1951319839248362,0.2878303757222003,0.7859129874504623,0.3787082559523809,0.33798748353030295,0.8396192019163462,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'absolute_error'}
