model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
32,0.872522105024575,0.3517267558996157,0.7612948237565155,0.12371171081566784,0.6570862541775175,0.28664537750891533,0.1372052198560878,0.8680346152005844,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 0.5, 'min_impurity_decrease': 0.2}
33,0.9889927693777002,0.31773101862294134,0.9781066978813728,0.1009530001951719,0.7371726067159182,0.265078731893287,-0.10851318966244894,0.8923117186758355,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0}
34,0.9685281102134584,0.32111885663002976,0.938046700273653,0.10311732008337761,0.7190880350054523,0.26741656790993834,-0.06311217582398809,0.8900030018616152,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}
35,1.049893309536602,0.34181437189469005,1.1022759614097193,0.11683706483376148,0.7550618410984754,0.2811363126603222,-0.24923737309763738,0.8753679169258657,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}
36,0.7969877624747764,0.7137280376517868,0.6351894935345507,0.5094077117302704,0.620526286546027,0.5587841836296672,0.28012359690081867,0.45660613489987356,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
37,0.7969877624747764,0.7137280376517868,0.6351894935345507,0.5094077117302704,0.620526286546027,0.5587841836296672,0.28012359690081867,0.45660613489987356,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}
38,0.7969877624747764,0.7137280376517868,0.6351894935345507,0.5094077117302704,0.620526286546027,0.5587841836296672,0.28012359690081867,0.45660613489987356,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}
39,0.7664557218596647,0.4397690915758983,0.5874543735714197,0.1933968539054908,0.5903907184878122,0.3505532512849968,0.3342230220492881,0.7937002885469581,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0}
40,0.7429923780045986,0.4372569283995221,0.5520376737729283,0.19119362143338484,0.5727688563814062,0.34836057693778405,0.37436166842189944,0.7960505140758675,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}
41,0.7414900633852337,0.4375237058984753,0.5498075140990378,0.19142699322313547,0.5721371112838334,0.3486980471477694,0.37688916508347614,0.7958015724208477,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}
