,model,hyperparams,roc_auc,accuracy,precision,recall,f1
26,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.5785368823640387,0.5813008130081301,0.48488120950323976,0.5640703517587939,0.5214866434378629
17,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.5779923508326616,0.5782520325203252,0.48214285714285715,0.5766331658291457,0.5251716247139588
5,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.5773877922033375,0.5782520325203252,0.4820295983086681,0.5728643216080402,0.52353616532721
1,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.5741741986382424,0.5828252032520326,0.4855824682814302,0.5288944723618091,0.5063138905592303
25,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.5722790574030563,0.5767276422764228,0.4796926454445664,0.5489949748743719,0.5120093731693028
130,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500}",0.5637787915687653,0.6280487804878049,0.6073825503355704,0.22738693467336685,0.33089579524680074
139,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 500}",0.5627218858799115,0.635670731707317,0.6889952153110048,0.18090452261306533,0.2865671641791045
83,LogisticRegression,"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear'}",0.5545389061347694,0.6026422764227642,0.5149572649572649,0.3027638190954774,0.3813291139240506
84,LogisticRegression,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}",0.5429472447562043,0.5960365853658537,0.501187648456057,0.2650753768844221,0.3467543138866064
182,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.5,0.5955284552845529,0.0,0.0,0.0
183,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.5,0.5955284552845529,0.0,0.0,0.0
181,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.5,0.5955284552845529,0.0,0.0,0.0
180,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.5,0.5955284552845529,0.0,0.0,0.0
179,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.5,0.5955284552845529,0.0,0.0,0.0
178,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.5,0.5955284552845529,0.0,0.0,0.0
81,LogisticRegression,"{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0.5955284552845529,0.0,0.0,0.0
82,LogisticRegression,"{'C': 0.001, 'penalty': 'l1', 'solver': 'saga'}",0.5,0.5955284552845529,0.0,0.0,0.0
85,LogisticRegression,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0.5955284552845529,0.0,0.0,0.0
86,LogisticRegression,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",0.5,0.5955284552845529,0.0,0.0,0.0
89,LogisticRegression,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0.5955284552845529,0.0,0.0,0.0
90,LogisticRegression,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.5,0.5955284552845529,0.0,0.0,0.0
