,model,hyperparams,mse,rmse,mae,r2
344,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
379,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
378,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
308,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
343,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
342,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
235,SVR,"{'C': 0.1, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
306,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
307,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
103,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000}",0.8926841795027132,0.9448196544858247,0.7267455564629299,0.043937430872810435
123,MLPRegressor,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500}",0.8919178979589004,0.9444140500643246,0.7280225446533372,0.044758116528806347
137,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 0.1, 'max_depth': 3}",0.8904711184463869,0.9436477724481667,0.7217327183220255,0.046307613842027306
356,SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",0.8883542274409916,0.9425254518796782,0.7211961912151837,0.04857479892231831
320,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",0.8883542274409916,0.9425254518796782,0.7211961912151837,0.04857479892231831
96,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 500}",0.8849962937599805,0.9407424162649308,0.697644547480502,0.052171137667578305
