model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2,split,preprocessing
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.43876749275886856,0.12567845509563064,0.6623952692757313,0.3545115725835063,0.513107728223612,0.2670604999872529,0.5136756178973438,0.8638519861371425,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4388120952809958,0.25666288815329935,0.6624289360233261,0.5066190759863858,0.5222598247731559,0.38976134118508676,0.5136261810216142,0.7219559834039422,0.9,Fingerprints
SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05}",0.43886934310665726,0.02495590099397756,0.6624721451552943,0.15797436815501925,0.5158993864598818,0.10959930494278305,0.5135627282501556,0.9729651645391185,0.9,Fingerprints
SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05}",0.43886934310667,0.02495590099396911,0.6624721451553038,0.15797436815499252,0.5158993864598156,0.10959930494277241,0.5135627282501414,0.9729651645391276,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05}",0.43931507921631374,0.025176883070258022,0.6628084785338173,0.15867225047328856,0.5158033847319706,0.1099547479977464,0.5130686799405451,0.972725773700315,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4401715868041949,0.1339782738686252,0.6634542838841233,0.36603042751747455,0.5147382311062072,0.2698680762494193,0.5121193376799701,0.8548607565703482,0.9,Fingerprints
SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05}",0.4409799967651131,0.017940448585987447,0.6640632475638997,0.13394195976611453,0.5127055330099825,0.03333622256773411,0.5112233062254583,0.9805650344688569,0.9,Fingerprints
SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05}",0.44097999676519456,0.017940448585983503,0.664063247563961,0.13394195976609982,0.512705533009944,0.0333362225677371,0.5112233062253682,0.9805650344688611,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05}",0.44215266794088065,0.018272336972253934,0.6649456127691051,0.13517520842319397,0.5126685731588111,0.033933718497627705,0.5099235322121676,0.9802054983448654,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4424298554719964,0.13397576673546896,0.6651540088370486,0.36602700274087563,0.5167411805424449,0.2699966909851588,0.5096163010315966,0.8548634725585377,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.44272835415578354,0.12656969104948698,0.6653783541382929,0.35576634333433926,0.5169157038361273,0.2617865457872044,0.5092854488368763,0.8628865063744546,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.44276977715535276,0.028258043698695334,0.6654094808126443,0.1681012899971185,0.5052453832228978,0.04414241049186899,0.5092395361040445,0.9693879390679989,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.4431656205597704,0.22170090481096758,0.6657068578284067,0.4708512555053534,0.5228121612878979,0.356393655854081,0.5088007882427287,0.7598304511410162,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.4431656205597704,0.22170090481096758,0.6657068578284067,0.4708512555053534,0.5228121612878979,0.356393655854081,0.5088007882427287,0.7598304511410162,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4435855268523682,0.12634445806849437,0.666022166937684,0.3554496561659532,0.5161201482031887,0.26158982882775533,0.5083353693781619,0.8631305022367146,0.9,Fingerprints
