,Unnamed: 0.1,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
53,,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8207053130489543,0.9785674751428176,0.8234323432343235,0.9790518191841234,0.8007518796992481,0.9772151898734176,0.797752808988764,0.9747474747474748,0.799249530956848,0.9759797724399492
54,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8207053130489543,0.9836179801933228,0.8234323432343235,0.9834619625137816,0.8007518796992481,0.9774436090225564,0.797752808988764,0.9848484848484848,0.799249530956848,0.981132075471698
55,,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'logistic', 'alpha': 0.0001, 'max_iter': 200, 'solver': 'adam'}",0.8206555964336615,0.8639575797110044,0.8184818481848185,0.8588754134509372,0.7697594501718213,0.7991071428571429,0.8389513108614233,0.904040404040404,0.8028673835125447,0.8483412322274881
56,,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.8204898743826854,0.8735224060566527,0.8151815181518152,0.8654906284454245,0.752442996742671,0.7927350427350427,0.8651685393258427,0.9368686868686869,0.8048780487804879,0.8587962962962963
57,,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.8204898743826854,0.8602339441380538,0.8151815181518152,0.8511576626240352,0.752442996742671,0.7735849056603774,0.8651685393258427,0.9318181818181818,0.8048780487804879,0.8453608247422681
58,,XGBClassifier,"{'max_depth': 3, 'eta': 0.1, 'gamma': 0}",0.8204235855622949,0.9805565439127084,0.8217821782178217,0.9790518191841234,0.7912087912087912,0.960880195599022,0.8089887640449438,0.9924242424242424,0.7999999999999998,0.9763975155279504
59,,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 200, 'solver': 'adam'}",0.8204235855622949,0.8875669611970982,0.8217821782178217,0.886438809261301,0.7912087912087912,0.8513189448441247,0.8089887640449438,0.8964646464646465,0.7999999999999998,0.8733087330873309
60,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8204235855622949,0.9832078119749352,0.8217821782178217,0.9823594266813672,0.7912087912087912,0.9702970297029704,0.8089887640449438,0.98989898989899,0.7999999999999998,0.98
61,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8204235855622949,0.9837761173377612,0.8217821782178217,0.9823594266813672,0.7912087912087912,0.965686274509804,0.8089887640449438,0.9949494949494948,0.7999999999999998,0.9800995024875622
62,,XGBClassifier,"{'max_depth': 3, 'eta': 0.1, 'gamma': 0.01}",0.8204235855622949,0.9805565439127084,0.8217821782178217,0.9790518191841234,0.7912087912087912,0.960880195599022,0.8089887640449438,0.9924242424242424,0.7999999999999998,0.9763975155279504
63,,XGBClassifier,"{'max_depth': 3, 'eta': 0.1, 'gamma': 0.1}",0.8204235855622949,0.9805565439127084,0.8217821782178217,0.9790518191841234,0.7912087912087912,0.960880195599022,0.8089887640449438,0.9924242424242424,0.7999999999999998,0.9763975155279504
64,,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8204235855622949,0.961523256043804,0.8217821782178217,0.9592061742006616,0.7912087912087912,0.9304556354916068,0.8089887640449438,0.9797979797979798,0.7999999999999998,0.954489544895449
65,,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200, 'solver': 'adam'}",0.8201418580756356,0.8891458617486014,0.8201320132013201,0.8853362734288864,0.7821428571428571,0.8348623853211009,0.8202247191011236,0.9191919191919192,0.8007312614259599,0.8750000000000001
66,,XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0}",0.8200258526399523,0.9951076320939336,0.8217821782178217,0.9944873208379272,0.7933579335793358,0.9875311720698254,0.8052434456928839,1.0,0.7992565055762081,0.9937264742785444
