,Model,MAE,RMSE,MSE,R2
39, RandomForestRegressor-100-10-5-1, 0.5465296063666544, 0.7020459841129026, 0.4928685638090539, 0.7295928865482495
40, RandomForestRegressor-100-10-5-2, 0.5347235205773271, 0.696565196421839, 0.48520307286619513, 0.7337984769048947
41, RandomForestRegressor-100-10-5-4, 0.5434892514365375, 0.7042283876155949, 0.49593762192366053, 0.7279090803436647
42, RandomForestRegressor-100-10-10-1, 0.549981385823804, 0.7149359128186469, 0.5111333594378319, 0.7195721000213217
43, RandomForestRegressor-100-10-10-2, 0.5483075974444659, 0.7098773138448635, 0.5039258007115989, 0.723526450721095
44, RandomForestRegressor-100-10-10-4, 0.5361775347569427, 0.7040666752688058, 0.49570988322407017, 0.7280340267673148
45, RandomForestRegressor-100-20-2-1, 0.5413010747883238, 0.719454132177967, 0.5176142483079517, 0.716016429035883
46, RandomForestRegressor-100-20-2-2, 0.5494149880526463, 0.7284311777029471, 0.5306119806497024, 0.7088853609539818
47, RandomForestRegressor-100-20-2-4, 0.5347563000426275, 0.7007092961136147, 0.49099351766003724, 0.7306216107436535
48, RandomForestRegressor-100-20-5-1, 0.5349091296168349, 0.7096412506172057, 0.5035907045775518, 0.7237102976632417
49, RandomForestRegressor-100-20-5-2, 0.5272711628677829, 0.6981499613230164, 0.4874133684953293, 0.7325858216356478
50, RandomForestRegressor-100-20-5-4, 0.5383670353373984, 0.700810277397011, 0.49113504490527543, 0.7305439633206492
51, RandomForestRegressor-100-20-10-1, 0.5393024171228155, 0.7018304026266967, 0.4925659140511512, 0.7297589321300347
52, RandomForestRegressor-100-20-10-2, 0.5240942169959971, 0.6907868672704089, 0.4771864959932655, 0.7381966868357939
53, RandomForestRegressor-100-20-10-4, 0.5305205769736882, 0.687762992063755, 0.4730179332524888, 0.7404837245995021
54, LinearRegression-0.001-l1-liblinear, 0.6728053873960612, 0.864702533705503, 0.7477104717967166, 0.5897765748871595
55," MLPRegressor-(50,)-relu-0.0001-200", 6163.832372639705, 43754.7888614978, 1914481548.3142517, -1050360008.2394146
56," MLPRegressor-(50,)-relu-0.0001-500", 5845.51163756663, 46192.20852919883, 2133720128.8049896, -1170642931.6411338
57," MLPRegressor-(50,)-relu-0.0001-1000", 1755.6277438621205, 9116.23164070772, 83105679.32704057, -45595049.09732789
58," MLPRegressor-(50,)-relu-0.001-200", 3275.174727239071, 11790.966931668436, 139026901.18369856, -76275634.74087113
59," MLPRegressor-(50,)-relu-0.001-500", 314.7203554349705, 1129.9815574583, 1276858.3201958854, -700533.7835184408
60," MLPRegressor-(50,)-relu-0.001-1000", 1960.4943374417737, 7765.296329646871, 60299827.08722716, -33082859.992964074
61," MLPRegressor-(50,)-relu-0.01-200", 1045.64992650735, 2639.033021495104, 6964495.288541579, -3820995.5209963145
62," MLPRegressor-(50,)-relu-0.01-500", 953.2824745049821, 5049.135568684957, 25493769.990959566, -13986885.68837272
63," MLPRegressor-(50,)-relu-0.01-1000", 1029.4877818305881, 3300.171538039761, 10891132.180487722, -5975303.231998282
64," MLPRegressor-(50,)-tanh-0.0001-200", 1.2059850540924455, 1.5356742219995836, 2.358295316114026, -0.2938537288091956
65," MLPRegressor-(50,)-tanh-0.0001-500", 1.1164759744303063, 1.3746379911361797, 1.8896296066749114, -0.03672525487320022
66," MLPRegressor-(50,)-tanh-0.0001-1000", 1.1806208458988272, 1.5016752580823705, 2.255028580736754, -0.23719752900382085
67," MLPRegressor-(50,)-tanh-0.001-200", 1.1623313494553624, 1.4622057239130357, 2.138045579044045, -0.17301604506786838
68," MLPRegressor-(50,)-tanh-0.001-500", 1.325378553685105, 1.7101127257113382, 2.9244855346398624, -0.6044879909600713
