,Classifier,Accuracy
54,LogisticRegression-0.001-l1-liblinear,Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
55,LogisticRegression-0.001-l1-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
56,LogisticRegression-0.001-l2-liblinear,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
57,LogisticRegression-0.001-l2-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
58,LogisticRegression-0.01-l1-liblinear,Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
59,LogisticRegression-0.01-l1-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
60,LogisticRegression-0.01-l2-liblinear,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
61,LogisticRegression-0.01-l2-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
62,LogisticRegression-0.1-l1-liblinear,Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
63,LogisticRegression-0.1-l1-saga,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
64,LogisticRegression-0.1-l2-liblinear,Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
