Unnamed: 0,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1,split,preprocessing
,XGBClassifier,"{'max_depth': 5, 'eta': 0.2, 'gamma': 0.01}",0.7130826100932176,0.9841861913497926,0.730593607305936,0.9851258581235698,0.7070063694267515,0.9845288326300985,0.6065573770491803,0.9790209790209791,0.6529411764705881,0.9817671809256663,0.8,Descriptors
,XGBClassifier,"{'max_depth': 5, 'eta': 0.2, 'gamma': 0.01}",0.7130826100932176,0.9841861913497926,0.730593607305936,0.9851258581235698,0.7070063694267515,0.9845288326300985,0.6065573770491803,0.9790209790209791,0.6529411764705881,0.9817671809256663,0.8,DescFing
,XGBClassifier,"{'max_depth': None, 'eta': 0.2, 'gamma': 0.01}",0.7118932819029251,0.9846167385373581,0.728310502283105,0.9851258581235698,0.7,0.9818181818181818,0.6120218579234973,0.9818181818181818,0.6530612244897959,0.9818181818181818,0.8,DescFing
,XGBClassifier,"{'max_depth': None, 'eta': 0.2, 'gamma': 0.01}",0.7118932819029251,0.9846167385373581,0.728310502283105,0.9851258581235698,0.7,0.9818181818181818,0.6120218579234973,0.9818181818181818,0.6530612244897959,0.9818181818181818,0.8,Descriptors
,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.7099324975891996,0.9802056607477712,0.726027397260274,0.9816933638443935,0.6956521739130435,0.983026874115983,0.6120218579234973,0.972027972027972,0.6511627906976744,0.9774964838255977,0.8,DescFing
,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.7095789135326261,0.965682139738287,0.728310502283105,0.9691075514874142,0.7077922077922078,0.976911976911977,0.5956284153005464,0.9468531468531468,0.6468842729970326,0.9616477272727273,0.8,DescFing
,GradientBoostingClassifier,"{'max_depth': 3, 'loss': 'log_loss', 'n_estimators': 100, 'learning_rate': 0.5, 'min_impurity_decrease': 0.2}",0.7095146255223401,0.9705237647154394,0.723744292237443,0.9725400457665904,0.6867469879518072,0.9730496453900709,0.6229508196721312,0.9594405594405594,0.6532951289398281,0.9661971830985915,0.8,Descriptors
,GradientBoostingClassifier,"{'max_depth': 5, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",0.7095146255223401,0.9841861913497926,0.723744292237443,0.9851258581235698,0.6867469879518072,0.9845288326300985,0.6229508196721312,0.9790209790209791,0.6532951289398281,0.9817671809256663,0.8,DescFing
,GradientBoostingClassifier,"{'max_depth': 3, 'loss': 'log_loss', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}",0.7091610414657666,0.9629397707810099,0.726027397260274,0.9651029748283753,0.6981132075471698,0.9631728045325779,0.6065573770491803,0.951048951048951,0.6491228070175438,0.9570724841660803,0.8,DescFing
,GradientBoostingClassifier,"{'max_depth': 3, 'loss': 'log_loss', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}",0.7091610414657666,0.9629397707810099,0.726027397260274,0.9651029748283753,0.6981132075471698,0.9631728045325779,0.6065573770491803,0.951048951048951,0.6491228070175438,0.9570724841660803,0.8,Descriptors
