Unnamed: 0,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2,split,preprocessing
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4999061771799994,0.16634701975066626,0.707040435321771,0.4078566166567195,0.535112955078975,0.3048189101896254,0.4423584832430605,0.8205863766430294,0.8,Fingerprints
,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05}",0.4999462201658162,0.017236002687376673,0.707068752078478,0.13128595769303233,0.5230705153055464,0.0313344998271135,0.4423138155986791,0.9814101046176371,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.49997703571233026,0.18442782809244376,0.7070905427965575,0.42945061193627815,0.5340643224925486,0.33075588979827414,0.44227944109225725,0.8010853158925362,0.8,Fingerprints
,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05}",0.5002728171321809,0.016967531662196614,0.7072996657232214,0.1302594782048378,0.5235662872795624,0.030912280930688825,0.4419494991809081,0.9816996641148023,0.8,Fingerprints
,SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05}",0.5002728171321976,0.016967531662191365,0.7072996657232333,0.13025947820481765,0.5235662872795441,0.03091228093068532,0.44194949918088944,0.9816996641148079,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.5002799340073053,0.17802560938787418,0.7073046967236294,0.42193081113835973,0.5341550834166108,0.3252635993693085,0.4419415603611452,0.8079904306161559,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.5007362289814139,0.10800104592403767,0.7076271821951259,0.3286351258219938,0.5305793661225671,0.239910346202596,0.44143256680782317,0.8835154425692885,0.8,DescFing
,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 'scale'}",0.5007783851847661,0.02905305259913737,0.707656968583484,0.17044956027850988,0.5150581737222452,0.11164948276885325,0.44138554188544543,0.9686648222240182,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.5008220409854257,0.18587474709057,0.7076878132237588,0.43113193698747254,0.5343828978078801,0.33215523070189906,0.4413368441737421,0.7995247410139061,0.8,Fingerprints
,XGBRegressor,"{'max_depth': None, 'eta': 0.2, 'gamma': 0}",0.5008511156353661,0.1406593838632956,0.7077083549283322,0.3750458423490328,0.5422527657217588,0.28824464288975693,0.4413044116241317,0.8482917833099815,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.5008890721725355,0.24097975813417546,0.7077351709308614,0.4908968915507364,0.5422980843020966,0.37592481509928677,0.4412620713972567,0.7400912163780099,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.5008890721725355,0.24097975813417546,0.7077351709308614,0.4908968915507364,0.5422980843020966,0.37592481509928677,0.4412620713972567,0.7400912163780099,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.5009482789184764,0.179284738882928,0.7077769980145415,0.42342028633844175,0.5340980427248544,0.3266672400422369,0.44119602672504454,0.8066323961570966,0.8,Fingerprints
,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.5010198458976043,0.029582065640009644,0.7078275537852453,0.17199437676857243,0.5160655675974248,0.11395583610153633,0.44111619430725824,0.9680942550650258,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.5015217828364216,0.13106988145653498,0.708182026626221,0.36203574610324735,0.5321024314701283,0.2671891690866471,0.4405562874914286,0.8586345437367454,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.5015590743264955,0.1669382788462243,0.7082083551656924,0.40858081066812757,0.5357333999790413,0.3057324875613344,0.44051468911950165,0.8199486739848403,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.5015762245844255,0.17974894499462113,0.7082204632629768,0.42396809431208515,0.5335692672546231,0.3258566213092698,0.4404955581379666,0.8061317265291816,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.5017688914339834,0.12293049596188091,0.7083564720068445,0.3506144548672814,0.5316022530620231,0.2587404874246361,0.44028063974103393,0.8674132801738869,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.5018506761782395,0.21648730711818967,0.7084141981766313,0.46528196517616033,0.5427721578187503,0.352395446319286,0.4401894094844049,0.7665075560771377,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.5018506761782395,0.21648730711818967,0.7084141981766313,0.46528196517616033,0.5427721578187503,0.352395446319286,0.4401894094844049,0.7665075560771377,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.5019940913312951,0.12786404609364835,0.7085154136158897,0.3575808245608933,0.5322381779638994,0.26740188825162103,0.4400294309781839,0.8620921983385743,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.5023267854113206,0.24925079520774768,0.7087501572566461,0.4992502330572793,0.5425155305315842,0.3829741826285902,0.4396583132767625,0.7311704870946499,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.502400183688178,0.2264897120117911,0.708801935443307,0.4759093527256962,0.5432012756111833,0.3614668411632481,0.43957643806036695,0.7557194595609852,0.8,Fingerprints
,SVR,"{'C': 0.1, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.5025397014408669,0.026161946381933424,0.708900346622053,0.16174654983007652,0.5162297802018831,0.10978037046718439,0.439420807074443,0.9717830256202431,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.502791973627578,0.12570599569066201,0.7090782563494512,0.35455041346846855,0.5322524757926166,0.26702862968780133,0.4391393993798497,0.8644197641871665,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.502931390517646,0.22772668144839284,0.709176558071152,0.4772071682701265,0.5413804175865662,0.36157854864942074,0.43898388090540796,0.7543853258389912,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.5030949445713906,0.22660060373988836,0.7092918613458007,0.47602584356302374,0.5443893663979292,0.36097911328431603,0.4388014376095152,0.755599857257511,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.5040560743151384,0.12492777886142746,0.7099690657452186,0.35345123972257825,0.5328784378306975,0.2652249149485604,0.4377293047322477,0.8652591101598183,0.8,Fingerprints
,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05}",0.5041472725989047,0.02526172403017003,0.7100332897821796,0.15893937218376708,0.5172846356121077,0.10913883786657685,0.4376275737443013,0.9727539606823734,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.5045630994808983,0.24982773899170438,0.7103260515290836,0.4998277093076217,0.5445304060234024,0.3828831957430354,0.43716372203818454,0.7305482242196786,0.8,Fingerprints
,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 'scale'}",0.5077411596163779,0.024150589315349295,0.7125595832043646,0.15540459875868956,0.519995919379477,0.10805607334480154,0.4336186202667066,0.9739523753309948,0.8,Fingerprints
,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 'scale'}",0.5077411596165253,0.024150589315357497,0.7125595832044681,0.15540459875871596,0.5199959193796013,0.10805607334481794,0.4336186202665422,0.9739523753309859,0.8,Fingerprints
,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05}",0.5077716874824303,0.02415113960278405,0.7125810041549173,0.15540636924780157,0.5200133156887818,0.10806191666302419,0.43358456666563927,0.9739517818183324,0.8,Fingerprints
,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.507771687482433,0.024151139602784,0.7125810041549192,0.1554063692478014,0.5200133156887777,0.10806191666302598,0.4335845666656363,0.9739517818183325,0.8,Fingerprints
,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.5077716874824417,0.024151139602770943,0.7125810041549253,0.1554063692477594,0.5200133156887711,0.10806191666297392,0.4335845666656265,0.9739517818183466,0.8,Fingerprints
,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05}",0.5077716874825265,0.024151139602768698,0.7125810041549848,0.1554063692477522,0.5200133156887828,0.10806191666298719,0.4335845666655319,0.973951781818349,0.8,Fingerprints
,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05}",0.5077716874835811,0.024151139602834583,0.7125810041557249,0.15540636924796417,0.5200133156895719,0.10806191666308737,0.4335845666643554,0.9739517818182779,0.8,Fingerprints
,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.5077716874836158,0.02415113960278968,0.7125810041557491,0.1554063692478197,0.5200133156890573,0.10806191666298416,0.4335845666643169,0.9739517818183264,0.8,Fingerprints
,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.507771687492821,0.024151139601884093,0.7125810041622082,0.15540636924490608,0.5200133156955876,0.10806191666608414,0.43358456665404843,0.9739517818193031,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.5091969953180638,0.09054079216631532,0.713580405643305,0.30089997036609245,0.5324728454200782,0.21946383791567076,0.431994646677469,0.9023472040045131,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.5093999393557258,0.17924261376439607,0.713722592717735,0.4233705395565403,0.5417726149409862,0.32977383317326764,0.4317682641558187,0.8066778302151367,0.8,Descriptors
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.5103090604475734,0.19012038856563188,0.7143591956764982,0.436027967641563,0.540121202212742,0.34271710881286166,0.4307541465319208,0.7949456032472229,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.5114333781568823,0.16027093663507086,0.7151457041448842,0.4003385275427171,0.5373920371286148,0.3118004339689033,0.42949997872732915,0.8271397377385336,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.5116781257066553,0.16251384988497197,0.7153168009397342,0.40313006571697424,0.5379976317681598,0.3145842661137105,0.42922696470768273,0.8247206430433398,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.512178346030089,0.14643029231083807,0.715666365026392,0.38266211245802484,0.5369561394151446,0.2993890078762698,0.4286689727631827,0.8420675684356371,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.512503583325023,0.07009031907826367,0.7158935558621987,0.2647457630978514,0.5321593963807497,0.19194464037306666,0.4283061730484923,0.9244040673110578,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.5125653537831347,0.1920917597883996,0.7159366967708352,0.4382827395510797,0.5412803290354907,0.3451198148466187,0.4282372685749639,0.7928193802791855,0.8,Fingerprints
,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0}",0.5133478591963805,0.10477269537170346,0.716482978999767,0.32368610623828675,0.5275249099217927,0.16483682444202896,0.4273643897720364,0.8869973809348145,0.8,DescFing
,SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.513939983687821,0.02417514829341071,0.7168960759327819,0.15548359493339067,0.5239688041658195,0.10817408590181676,0.4267038794311191,0.9739258872385327,0.8,Fingerprints
,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.5139399836879406,0.02417514829341083,0.7168960759328653,0.15548359493339106,0.5239688041659387,0.1081740859018358,0.42670387943098576,0.9739258872385326,0.8,Fingerprints
,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.5162983574289496,0.023681265650945138,0.7185390437749013,0.15388718481714173,0.521541253983437,0.039445142020814956,0.4240731315625863,0.9744585644967768,0.8,Fingerprints
,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 'scale'}",0.5174030966872825,0.02246358374623411,0.7193073728853907,0.14987856333123198,0.5207967353203582,0.036330508310156245,0.4228408033702986,0.9757718956460086,0.8,Fingerprints
,SVR,"{'C': 0.1, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.1}",0.5196101299783266,0.01916653911330888,0.7208398781826145,0.13844327037927442,0.5223036886495773,0.03331073741651482,0.42037887461620016,0.9793279240308237,0.8,Fingerprints
,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.05}",0.5208999604292637,0.018135629440427764,0.7217339956169888,0.1346685911429527,0.5231481058003126,0.03243943677436437,0.4189400786143639,0.9804398119386598,0.8,Fingerprints
,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 'scale'}",0.526369750190043,0.016786915762734278,0.7255134390140839,0.12956433059578656,0.5270218517506992,0.030900901249020195,0.4128385699757854,0.9818944674422498,0.8,Fingerprints
,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 'scale'}",0.5263697501901075,0.016786915762734368,0.7255134390141285,0.12956433059578693,0.5270218517507869,0.030900901249016812,0.41283856997571344,0.9818944674422497,0.8,Fingerprints
,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.1}",0.5263828974336914,0.016786603664984943,0.7255224996054164,0.1295631261778788,0.5270282536564994,0.030916641899989362,0.41282390432606153,0.9818948040553622,0.8,Fingerprints
