Unnamed: 0,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1,split,preprocessing
,SVC,"{'C': 0.1, 'kernel': 'linear', 'gamma': 0.05}",0.8438920074846298,0.8527026128581877,0.8448844884488449,0.8512396694214877,0.8059701492537313,0.8105263157894737,0.8372093023255814,0.8651685393258427,0.8212927756653993,0.8369565217391305,0.8,DescFing
,XGBClassifier,"{'max_depth': 7, 'eta': 0.2, 'gamma': 0.1}",0.8438920074846298,0.9713588413890921,0.8448844884488449,0.9710743801652892,0.8059701492537313,0.9611829944547134,0.8372093023255814,0.9737827715355806,0.8212927756653993,0.9674418604651163,0.8,Fingerprints
,XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0}",0.8438920074846298,0.9136360614320856,0.8448844884488449,0.9140495867768595,0.8059701492537313,0.8966789667896679,0.8372093023255814,0.9101123595505618,0.8212927756653993,0.9033457249070633,0.8,Fingerprints
,SVC,"{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}",0.8438920074846298,0.8527026128581877,0.8448844884488449,0.8512396694214877,0.8059701492537313,0.8105263157894737,0.8372093023255814,0.8651685393258427,0.8212927756653993,0.8369565217391305,0.8,DescFing
,XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0.01}",0.8438920074846298,0.9162483655785297,0.8448844884488449,0.9165289256198347,0.8059701492537313,0.8987108655616943,0.8372093023255814,0.9138576779026217,0.8212927756653993,0.9062209842154132,0.8,Fingerprints
,SVC,"{'C': 0.1, 'kernel': 'linear', 'gamma': 0.05}",0.8438920074846298,0.8527026128581877,0.8448844884488449,0.8512396694214877,0.8059701492537313,0.8105263157894737,0.8372093023255814,0.8651685393258427,0.8212927756653993,0.8369565217391305,0.8,Descriptors
,SVC,"{'C': 0.1, 'kernel': 'linear', 'gamma': 0.1}",0.8438920074846298,0.8527026128581877,0.8448844884488449,0.8512396694214877,0.8059701492537313,0.8105263157894737,0.8372093023255814,0.8651685393258427,0.8212927756653993,0.8369565217391305,0.8,Descriptors
,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500, 'solver': 'sgd'}",0.8418871959369152,0.9700291425658756,0.8448844884488449,0.9702479338842975,0.8153846153846154,0.9645522388059702,0.8217054263565892,0.9681647940074907,0.8185328185328187,0.9663551401869159,0.8,Fingerprints
,LogisticRegression,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",0.8410184442662391,0.9780627396228088,0.8415841584158416,0.9776859504132231,0.8,0.9685767097966729,0.8372093023255814,0.9812734082397003,0.8181818181818183,0.9748837209302326,0.8,Fingerprints
,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 0.05}",0.8401496925955626,0.8899203288788423,0.8382838283828383,0.8884297520661157,0.7857142857142857,0.8530973451327434,0.8527131782945736,0.9026217228464419,0.8178438661710037,0.8771610555050046,0.8,Descriptors
,XGBClassifier,"{'max_depth': None, 'eta': 0.1, 'gamma': 0.01}",0.8400160384923817,0.9285702413403363,0.8415841584158416,0.928099173553719,0.8045112781954887,0.907103825136612,0.8294573643410853,0.9325842696629213,0.816793893129771,0.9196675900277007,0.8,Fingerprints
,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 100, 'learning_rate': 0.5, 'min_impurity_decrease': 0.05}",0.8390136327185246,0.989794561531813,0.8415841584158416,0.9892561983471074,0.8091603053435115,0.9815157116451017,0.8217054263565892,0.9943820224719101,0.8153846153846155,0.987906976744186,0.8,Fingerprints
,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'sgd'}",0.8380112269446672,0.9663309177138045,0.8415841584158416,0.9661157024793389,0.813953488372093,0.955637707948244,0.813953488372093,0.9681647940074907,0.8139534883720931,0.9618604651162792,0.8,Fingerprints
,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.837142475273991,0.9145252975201117,0.8382838283828383,0.915702479338843,0.7985074626865671,0.9044943820224719,0.8294573643410853,0.9044943820224719,0.8136882129277565,0.9044943820224719,0.8,Fingerprints
,XGBClassifier,"{'max_depth': None, 'eta': 0.1, 'gamma': 0.1}",0.8361400695001336,0.9298528466635639,0.8382838283828383,0.9297520661157025,0.803030303030303,0.9119266055045872,0.8217054263565892,0.9307116104868914,0.8122605363984674,0.9212233549582948,0.8,Fingerprints
,LogisticRegression,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8342689120556002,0.9231960419298362,0.834983498349835,0.9223140495867769,0.7925925925925926,0.8971119133574007,0.8294573643410853,0.9307116104868914,0.8106060606060607,0.9136029411764706,0.8,Fingerprints
