,Model,MAE,RMSE,MSE,R2
68," MLPRegressor-(50,)-tanh-0.001-500", 1.4952454894796776, 1.7572095681718245, 3.08778546647461, -0.8984055833546953
69," MLPRegressor-(50,)-tanh-0.001-1000", 1.9268088397569998, 2.273294603598978, 5.167868354752233, -2.1772641737007654
70," MLPRegressor-(50,)-tanh-0.01-200", 1.2696627486554817, 1.6299354052082098, 2.6566894251512507, -0.6333628397133275
71," MLPRegressor-(50,)-tanh-0.01-500", 1.1922908908092804, 1.493111268826574, 2.229381261096902, -0.37064892604885613
72," MLPRegressor-(50,)-tanh-0.01-1000", 1.3702946444753308, 1.8446370950723745, 3.4026860125170484, -1.0920100164667335
73," MLPRegressor-(100,)-relu-0.0001-200", 3893.975000855552, 27696.592389800047, 767101230.00673, -471622549.8068357
74," MLPRegressor-(100,)-relu-0.0001-500", 46268.461483719846, 784252.1727027654, 615051470389.0083, -378140631242.4334
75," MLPRegressor-(100,)-relu-0.0001-1000", 12738.620098007006, 196593.43951933485, 38648980462.04237, -23761832256.043915
76," MLPRegressor-(100,)-relu-0.001-200", 2803.20968029156, 30431.955107702248, 926103891.677205, -569379192.5402175
77," MLPRegressor-(100,)-relu-0.001-500", 87536.79191379815, 1489956.8396586992, 2219971384045.739, -1364863626736.5654
78," MLPRegressor-(100,)-relu-0.001-1000", 1881.4703600755745, 19538.624837896165, 381757860.5560529, -234709068.6027516
79," MLPRegressor-(100,)-relu-0.01-200", 59614.450700024725, 1022290.7127279654, 1045078301329.8516, -642526012193.9424
80," MLPRegressor-(100,)-relu-0.01-500", 3884.6371013752955, 57534.118876153516, 3310174834.8553643, -2035133092.4737082
81," MLPRegressor-(100,)-relu-0.01-1000", 21075.88968792753, 322236.11928681534, 103836116573.02669, -63839624090.87788
82," MLPRegressor-(100,)-tanh-0.0001-200", 1.7504317398062743, 2.0349605611285564, 4.141064485348649, -1.5459734898594695
83," MLPRegressor-(100,)-tanh-0.0001-500", 1.2652406473306392, 1.6200436474249407, 2.6245414195619055, -0.613597880661878
84," MLPRegressor-(100,)-tanh-0.0001-1000", 1.1873225794640156, 1.4885071451658027, 2.2156535212096484, -0.3622089556131649
85," MLPRegressor-(100,)-tanh-0.001-200", 1.149914346781794, 1.3951488239841945, 1.9464402410644808, -0.19669357260168763
86," MLPRegressor-(100,)-tanh-0.001-500", 1.0628096552136679, 1.2821624498894921, 1.6439405479066242, -0.010713324722093187
87," MLPRegressor-(100,)-tanh-0.001-1000", 1.192025370492309, 1.4387407780811194, 2.069975026513465, -0.27264416210382403
88," MLPRegressor-(100,)-tanh-0.01-200", 1.4132107809113295, 1.7880957973611638, 3.1972865805406556, -0.9657281122620802
89," MLPRegressor-(100,)-tanh-0.01-500", 1.0442294646420576, 1.277643737296358, 1.6323735194526054, -0.0036017842221625074
90," MLPRegressor-(100,)-tanh-0.01-1000", 1.3110171728945983, 1.6785193798973874, 2.81742730869111, -0.7321863165648708
91," MLPRegressor-(50, 50)-relu-0.0001-200", 8182.0324431565705, 136960.40223642476, 18758151780.763264, -11532724814.455898
92," MLPRegressor-(50, 50)-relu-0.0001-500", 1298.8425347995112, 15113.089654750958, 228405478.91254044, -140426282.2195487
93," MLPRegressor-(50, 50)-relu-0.0001-1000", 481.03280052558415, 2140.7677006432677, 4582886.348117463, -2817609.5903754313
94," MLPRegressor-(50, 50)-relu-0.001-200", 76206.0423662053, 1305454.771090528, 1704212159363.0227, -1047768996155.8213
95," MLPRegressor-(50, 50)-relu-0.001-500", 3629.3062125951715, 61557.229696767965, 3789292527.9406514, -2329700093.164852
96," MLPRegressor-(50, 50)-relu-0.001-1000", 695.5721562572603, 5964.144781618291, 35571022.97610469, -21869468.02777339
97," MLPRegressor-(50, 50)-relu-0.01-200", 3603.0423479915735, 59368.94118307122, 3524671177.1989703, -2167007880.516924
98," MLPRegressor-(50, 50)-relu-0.01-500", 736.6051254755521, 9325.620506200208, 86967197.82566182, -53468420.20785216
99," MLPRegressor-(50, 50)-relu-0.01-1000", 9995.091735100976, 164758.61798634217, 27145402200.769436, -16689301655.434645
100," MLPRegressor-(50, 50)-tanh-0.0001-200", 1.0356729239689522, 1.34512073327097, 1.8093497870754323, -0.11240880408291609
101," MLPRegressor-(50, 50)-tanh-0.0001-500", 1.0403541947462207, 1.3434749635565462, 1.804924977703263, -0.10968838101317568
102," MLPRegressor-(50, 50)-tanh-0.0001-1000", 1.0618591709769865, 1.2866268057901098, 1.6554085373776608, -0.01776397493016124
103," MLPRegressor-(50, 50)-tanh-0.001-200", 1.21680229250826, 1.4558643635358512, 2.119541045013649, -0.3031179133689479
104," MLPRegressor-(50, 50)-tanh-0.001-500", 1.0444587045827143, 1.299481371827124, 1.6886518357257043, -0.03820233241265325
