,Classifier,Accuracy
21,RandomForestRegressor-50-20-5-1,MAE: 0.8170319275615882 | RMSE: 1.1121193865616317 | MSE: 1.23680952996622 | R2: 0.23959545029049856
22,RandomForestRegressor-50-20-5-2,MAE: 0.8114515016658695 | RMSE: 1.1086972802492059 | MSE: 1.2292096592319863 | R2: 0.24426793715569373
23,RandomForestRegressor-50-20-5-4,MAE: 0.8070875370329299 | RMSE: 1.1039337581764337 | MSE: 1.2186697424415447 | R2: 0.25074799773642875
24,RandomForestRegressor-50-20-10-1,MAE: 0.8117744247258828 | RMSE: 1.1067414418498305 | MSE: 1.2248766191078415 | R2: 0.24693193944921066
25,RandomForestRegressor-50-20-10-2,MAE: 0.8224850060197494 | RMSE: 1.1109364550498055 | MSE: 1.2341798071586287 | R2: 0.24121223374738376
26,RandomForestRegressor-50-20-10-4,MAE: 0.8181675954924491 | RMSE: 1.108223899699397 | MSE: 1.228160211864939 | R2: 0.24491314931912622
27,RandomForestRegressor-100-None-2-1,MAE: 0.8126659365856145 | RMSE: 1.1089017271059853 | MSE: 1.229663040378637 | R2: 0.2439891932761289
28,RandomForestRegressor-100-None-2-2,MAE: 0.8072101325124754 | RMSE: 1.1048944592909815 | MSE: 1.2207917661719105 | R2: 0.24944335343990087
29,RandomForestRegressor-100-None-2-4,MAE: 0.8087882271266696 | RMSE: 1.0997616830232544 | MSE: 1.209475759446141 | R2: 0.2564005629295897
30,RandomForestRegressor-100-None-5-1,MAE: 0.8175333233495377 | RMSE: 1.111707591386288 | MSE: 1.2358937687459017 | R2: 0.2401584706921902
31,RandomForestRegressor-100-None-5-2,MAE: 0.8181653700443747 | RMSE: 1.116921803993415 | MSE: 1.2475143162359048 | R2: 0.23301402608093702
32,RandomForestRegressor-100-None-5-4,MAE: 0.8069906977267974 | RMSE: 1.1000626356333436 | MSE: 1.2101378023165785 | R2: 0.25599353145175396
33,RandomForestRegressor-100-None-10-1,MAE: 0.8139831136545297 | RMSE: 1.1110615471454777 | MSE: 1.2344577615453023 | R2: 0.2410413442327759
34,RandomForestRegressor-100-None-10-2,MAE: 0.8200973398409801 | RMSE: 1.1152894033192264 | MSE: 1.243870453156156 | R2: 0.23525431449821277
35,RandomForestRegressor-100-None-10-4,MAE: 0.8136575268783678 | RMSE: 1.108356965050423 | MSE: 1.2284551619757846 | R2: 0.24473181064021876
36,RandomForestRegressor-100-10-2-1,MAE: 0.8085522342036994 | RMSE: 1.1081937417282735 | MSE: 1.2280933692057112 | R2: 0.24495424494538076
37,RandomForestRegressor-100-10-2-2,MAE: 0.8121573055589119 | RMSE: 1.1042199963054478 | MSE: 1.2193018002408031 | R2: 0.2503594014209971
38,RandomForestRegressor-100-10-2-4,MAE: 0.8173301836786547 | RMSE: 1.1123383073850994 | MSE: 1.237296510076348 | R2: 0.23929604938648918
39,RandomForestRegressor-100-10-5-1,MAE: 0.8146909676082663 | RMSE: 1.1087856889831724 | MSE: 1.2294057040938882 | R2: 0.24414740654744294
40,RandomForestRegressor-100-10-5-2,MAE: 0.8210006378522218 | RMSE: 1.1190474439398357 | MSE: 1.2522671817882798 | R2: 0.23009191034474752
41,RandomForestRegressor-100-10-5-4,MAE: 0.8120845506493135 | RMSE: 1.1068369130688085 | MSE: 1.2250879521316893 | R2: 0.2468020095053154
42,RandomForestRegressor-100-10-10-1,MAE: 0.8117912488837405 | RMSE: 1.1072869377003969 | MSE: 1.2260843624019224 | R2: 0.24618940515152843
43,RandomForestRegressor-100-10-10-2,MAE: 0.8150955237551925 | RMSE: 1.1164424169993536 | MSE: 1.2464436704753585 | R2: 0.23367227125751555
44,RandomForestRegressor-100-10-10-4,MAE: 0.8243597712912886 | RMSE: 1.1236952819438215 | MSE: 1.2626910866628043 | R2: 0.22368317520786352
45,RandomForestRegressor-100-20-2-1,MAE: 0.8095358864136891 | RMSE: 1.106155419500851 | MSE: 1.2235798120911037 | R2: 0.2477292311353846
46,RandomForestRegressor-100-20-2-2,MAE: 0.801551697523957 | RMSE: 1.0972415444997365 | MSE: 1.2039390069761675 | R2: 0.25980462124801007
47,RandomForestRegressor-100-20-2-4,MAE: 0.8151669697788732 | RMSE: 1.111323969580774 | MSE: 1.235040965364769 | R2: 0.24068278389912257
48,RandomForestRegressor-100-20-5-1,MAE: 0.8008824366542422 | RMSE: 1.0956447297219238 | MSE: 1.2004373737674274 | R2: 0.26195746512479723
49,RandomForestRegressor-100-20-5-2,MAE: 0.8042679103932493 | RMSE: 1.0999363982765336 | MSE: 1.2098600802535533 | R2: 0.2561642781311435
50,RandomForestRegressor-100-20-5-4,MAE: 0.8151858439295336 | RMSE: 1.1096016600947463 | MSE: 1.2312158440850167 | R2: 0.24303451191693104
51,RandomForestRegressor-100-20-10-1,MAE: 0.820672485744943 | RMSE: 1.1179872420843455 | MSE: 1.2498954734633612 | R2: 0.2315500635665304
52,RandomForestRegressor-100-20-10-2,MAE: 0.812917440411289 | RMSE: 1.110016245101215 | MSE: 1.2321360643886008 | R2: 0.24246875002019053
53,RandomForestRegressor-100-20-10-4,MAE: 0.8160473959934204 | RMSE: 1.1100096978343905 | MSE: 1.2321215292863952 | R2: 0.24247768636615152
54,LinearRegression-0.001-l1-liblinear,MAE: 5.661737962389903 | RMSE: 7.404030850902909 | MSE: 54.819672841122056 | R2: -32.703757637697144
