,Classifier,Accuracy
39,RandomForestRegressor-100-10-5-1,MAE: 1.1274419158869842 | RMSE: 1.469181104106494 | MSE: 2.1584931166635766 | R2: -0.32706608953154936
40,RandomForestRegressor-100-10-5-2,MAE: 1.1330438240830167 | RMSE: 1.4780018361085716 | MSE: 2.184489427540309 | R2: -0.34304891678779614
41,RandomForestRegressor-100-10-5-4,MAE: 1.1285735122793146 | RMSE: 1.4709565536789537 | MSE: 2.163713182811065 | R2: -0.33027544550121357
42,RandomForestRegressor-100-10-10-1,MAE: 1.1349489328426177 | RMSE: 1.480992250049134 | MSE: 2.1933380447055963 | R2: -0.3484891471450977
43,RandomForestRegressor-100-10-10-2,MAE: 1.1287835977143759 | RMSE: 1.4712868905080079 | MSE: 2.164685114180723 | R2: -0.33087299994883623
44,RandomForestRegressor-100-10-10-4,MAE: 1.123930134228841 | RMSE: 1.4636640836214543 | MSE: 2.1423125496834317 | R2: -0.3171180931339814
45,RandomForestRegressor-100-20-2-1,MAE: 1.1393155510640298 | RMSE: 1.4878186409124823 | MSE: 2.213604308246666 | R2: -0.3609490762035861
46,RandomForestRegressor-100-20-2-2,MAE: 1.1305084426224343 | RMSE: 1.474007491458893 | MSE: 2.1726980848769384 | R2: -0.33579946536365024
47,RandomForestRegressor-100-20-2-4,MAE: 1.1331812576960119 | RMSE: 1.4782177664271343 | MSE: 2.185127764980826 | R2: -0.3434413738980129
48,RandomForestRegressor-100-20-5-1,MAE: 1.1291896746700514 | RMSE: 1.4719260386796735 | MSE: 2.1665662633432357 | R2: -0.3320295518246097
49,RandomForestRegressor-100-20-5-2,MAE: 1.120092067035296 | RMSE: 1.4572184011015497 | MSE: 2.1234854685089566 | R2: -0.30554298974420413
50,RandomForestRegressor-100-20-5-4,MAE: 1.1199517839776112 | RMSE: 1.4569806551637952 | MSE: 2.1227926295215216 | R2: -0.3051170244637813
51,RandomForestRegressor-100-20-10-1,MAE: 1.1364550945501992 | RMSE: 1.4833567133625756 | MSE: 2.2003471390778224 | R2: -0.35279841799145784
52,RandomForestRegressor-100-20-10-2,MAE: 1.1200275300275226 | RMSE: 1.4571090106642284 | MSE: 2.1231666689588864 | R2: -0.3053469881591213
53,RandomForestRegressor-100-20-10-4,MAE: 1.1271823870802646 | RMSE: 1.4687748297202685 | MSE: 2.1572995004198035 | R2: -0.32633224070488565
54,LinearRegression-0.001-l1-liblinear,MAE: 1.0615297756472275 | RMSE: 1.2756853157252706 | MSE: 1.6273730247570832 | R2: -0.0005274232755927422
55,"MLPRegressor-(50,)-relu-0.0001-200",MAE: 475806.17888552975 | RMSE: 8587452.635924855 | MSE: 73744342774252.75 | R2: -45338859704945.1
56,"MLPRegressor-(50,)-relu-0.0001-500",MAE: 29322.533870663734 | RMSE: 71002.20665468505 | MSE: 5041313349.834602 | R2: -3099456717.9583173
57,"MLPRegressor-(50,)-relu-0.0001-1000",MAE: 44348.27344422569 | RMSE: 71989.61892373164 | MSE: 5182505232.7841015 | R2: -3186263091.5959644
58,"MLPRegressor-(50,)-relu-0.001-200",MAE: 32898.32213955417 | RMSE: 43019.20277947279 | MSE: 1850651807.7813997 | R2: -1137801754.6215992
59,"MLPRegressor-(50,)-relu-0.001-500",MAE: 119.75833710237862 | RMSE: 987.425473358473 | MSE: 975009.0654372046 | R2: -599445.6499515965
60,"MLPRegressor-(50,)-relu-0.001-1000",MAE: 28066.858573060104 | RMSE: 415621.06514208845 | MSE: 172740869789.84412 | R2: -106203049156.10147
