,Model,MAE,RMSE,MSE,R2
89," MLPRegressor-(100,)-tanh-0.01-500", 1.994234818765563, 2.7759446578806473, 7.705868743616104, -3.7376556455462975
90," MLPRegressor-(100,)-tanh-0.01-1000", 1.9189382366073962, 2.718272558608002, 7.389005702881293, -3.5428446484026077
91," MLPRegressor-(50, 50)-relu-0.0001-200", 9478.891161666792, 164132.3068869239, 26939414164.02337, -16562657870.330793
92," MLPRegressor-(50, 50)-relu-0.0001-500", 708.1908342588479, 1871.8311431104792, 3503751.828318283, -2154145.42817231
93," MLPRegressor-(50, 50)-relu-0.0001-1000", 118330.77116668182, 466329.22935346176, 217462950149.39352, -133698692223.15004
94," MLPRegressor-(50, 50)-relu-0.001-200", 14115.713752224443, 183931.44569305188, 33830776714.73609, -20799545855.340702
95," MLPRegressor-(50, 50)-relu-0.001-500", 117.46203897317967, 843.8912522300434, 712152.4455903907, -437838.41390593216
96," MLPRegressor-(50, 50)-relu-0.001-1000", 262104.80914129995, 4698076.167427384, 22071919674949.176, -13570066962623.72
97," MLPRegressor-(50, 50)-relu-0.01-200", 78.30008360747027, 1100.0153021235526, 1210033.664905971, -743941.4436851589
98," MLPRegressor-(50, 50)-relu-0.01-500", 8694.915969471987, 100403.91403476524, 10080945953.50053, -6197880095.078136
99," MLPRegressor-(50, 50)-relu-0.01-1000", 12415.751072472545, 63917.04534103708, 4085388685.12819, -2511743374.3829823
100," MLPRegressor-(50, 50)-tanh-0.0001-200", 1.4161425946432689, 2.6086052765996484, 6.804821489103529, -3.18368155718903
101," MLPRegressor-(50, 50)-tanh-0.0001-500", 1.4826740389330877, 2.458289492612277, 6.043187229487926, -2.7154201618857856
102," MLPRegressor-(50, 50)-tanh-0.0001-1000", 1.64561935227221, 2.471045651602991, 6.106066612306049, -2.754079120779102
103," MLPRegressor-(50, 50)-tanh-0.001-200", 1.433276790193593, 2.683627294579635, 7.201855456212812, -3.4277825506438244
104," MLPRegressor-(50, 50)-tanh-0.001-500", 1.4049723433077626, 2.550385495940158, 6.504466177901926, -2.999019699697238
105," MLPRegressor-(50, 50)-tanh-0.001-1000", 1.403363417583751, 2.5358630492004357, 6.430601404300132, -2.9536067977513745
106," MLPRegressor-(50, 50)-tanh-0.01-200", 1.4203024837609002, 2.5343615124952743, 6.422988276017334, -2.9489261599947096
107," MLPRegressor-(50, 50)-tanh-0.01-500", 1.4103381622515534, 2.5005057162414404, 6.252528836956119, -2.844125760367601
108," MLPRegressor-(50, 50)-tanh-0.01-1000", 1.5128752540161035, 2.4689703237312894, 6.095814459465789, -2.7477759807440605
109, GradientBoostingRegressor-10-0.1, 1.0742800059863569, 1.3681958005685084, 1.8719597486933017, -0.1509021197615763
110, GradientBoostingRegressor-10-0.5, 1.1252927117588265, 1.465808943046672, 2.148595857515602, -0.3209811421702695
111, GradientBoostingRegressor-10-1.0, 1.1498626367391305, 1.5043505085668134, 2.26307045262523, -0.39136142372412497
112, GradientBoostingRegressor-10-2.0, 1.0549949146850068, 1.2853271722591681, 1.652065939747749, -0.015708907933950078
113, GradientBoostingRegressor-100-0.1, 1.1288180139186104, 1.4713410276875711, 2.164844419756718, -0.33097094282673734
114, GradientBoostingRegressor-100-0.5, 1.1305786781395692, 1.4741185932432725, 2.173025626945525, -0.3360008419484357
115, GradientBoostingRegressor-100-1.0, 1.1305797503557313, 1.4741202895174965, 2.173030627967148, -0.33600391663334306
116, GradientBoostingRegressor-100-2.0, 1.0549949146850068, 1.2853271722591681, 1.652065939747749, -0.015708907933950078
117, GradientBoostingRegressor-200-0.1, 1.1314910046666462, 1.475557295055773, 2.177269330992309, -0.33860991940669494
118, GradientBoostingRegressor-200-0.5, 1.1305797698739113, 1.4741203203958253, 2.173030719003891, -0.3360039726037669
119, GradientBoostingRegressor-200-1.0, 1.1305797503557313, 1.4741202895174965, 2.173030627967148, -0.33600391663334306
120, GradientBoostingRegressor-200-2.0, 1.0549949146850068, 1.2853271722591681, 1.652065939747749, -0.015708907933950078
121, SVR-0.01-2-0.01, 1.066776328203405, 1.3482808407935438, 1.8178612256509454, -0.11764173321273108
122, SVR-0.01-2-0.1, 1.0647892427134642, 1.3429023443449626, 1.8033867064471965, -0.10874263436952547
123, SVR-0.01-2-1, 1.0562292829244864, 1.2806545790351402, 1.6400761508036723, -0.008337449481991221
124, SVR-0.01-3-0.01, 1.066777982448022, 1.348285397386103, 1.8178735128046022, -0.11764928749438663
125, SVR-0.01-3-0.1, 1.0647905559798982, 1.3429058361292676, 1.8033960847100474, -0.10874840023206733
126, SVR-0.01-3-1, 1.0562292833158093, 1.2806545779372693, 1.6400761479916854, -0.00833744775314993
127, SVR-0.01-4-0.01, 1.0667779567432785, 1.3482853265818562, 1.8178733218759429, -0.11764917010927767
128, SVR-0.01-4-0.1, 1.0647905753640117, 1.3429058876693631, 1.8033962231370402, -0.10874848533855497
129, SVR-0.01-4-1, 1.0562292833201157, 1.2806545779251879, 1.640076147960741, -0.008337447734124925
130, SVR-0.1-2-0.01, 1.0667763268935506, 1.3482808371856254, 1.817861215921971, -0.1176417272312471
131, SVR-0.1-2-0.1, 1.064789241588371, 1.3429023413535441, 1.8033866984128306, -0.10874262942990609
132, SVR-0.1-2-1, 1.0562292793634407, 1.2806545890257852, 1.6400761763928027, -0.0083374652144792
133, SVR-0.1-3-0.01, 1.066777982103504, 1.3482853964371206, 1.8178735102456036, -0.11764928592108514
134, SVR-0.1-3-0.1, 1.0647905485438343, 1.3429058163576466, 1.803396031607197, -0.10874836758383144
