model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
29,0.881577441552408,0.3451657212656762,0.7771787854540894,0.11913937513685448,0.638094698602816,0.2830827853201444,0.13858478839733224,0.8709357997327215,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'friedman_mse'}
30,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'absolute_error'}
31,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'poisson'}
32,0.9766560813793058,0.4328015908490401,0.9538571012951812,0.18731721704145987,0.7081954007024404,0.3381711582316579,-0.057243239431468584,0.797078448783389,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'squared_error'}
33,0.9667709918539158,0.4328015908490401,0.9346461506902041,0.18731721704145987,0.7044621296789754,0.3381711582316579,-0.035950062893195245,0.797078448783389,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'friedman_mse'}
34,0.9123162254374558,0.461545216535957,0.8323208951964467,0.2130239869072234,0.6794208557767599,0.3468812133411117,0.07746596603501454,0.7692301938268007,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'absolute_error'}
35,0.9250883675581071,0.4268138690497838,0.8557884877913233,0.18217007881324598,0.7078277251959317,0.33488498105799475,0.051454780939284794,0.8026543658832266,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'poisson'}
36,0.9721808162409958,0.4328015908490401,0.945135539467009,0.18731721704145987,0.7079134104944012,0.3381711582316579,-0.047576369763466575,0.797078448783389,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'squared_error'}
37,0.9733877321894194,0.4328015908490401,0.947483677176861,0.18731721704145987,0.7145600609413697,0.3381711582316579,-0.05017901613012299,0.797078448783389,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'friedman_mse'}
38,0.9152694294240963,0.4607614255975766,0.8377181284383108,0.21230109131871114,0.6861087727287637,0.34685975449898104,0.0714837404491826,0.7700133097437752,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'absolute_error'}
39,0.9057057363007137,0.4268138690497838,0.8203028807680179,0.18217007881324598,0.6895628850132833,0.33488498105799475,0.09078658239211201,0.8026543658832266,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'poisson'}
40,0.9800838317454224,1.0012865943702698,0.9605643172487894,1.0025748440656133,0.7493749452558094,0.7455636593350027,-0.06467743341370191,-0.08609366390232487,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'squared_error'}
41,0.9906527914885742,0.43392635746512265,0.9813929532841046,0.18829208370294942,0.724324229638541,0.33904748903853826,-0.08776363217975902,0.7960223715134869,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'friedman_mse'}
42,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'absolute_error'}
43,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'poisson'}
44,0.9800838317454224,1.0012865943702698,0.9605643172487894,1.0025748440656133,0.7493749452558094,0.7455636593350027,-0.06467743341370191,-0.08609366390232487,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'squared_error'}
45,0.972709925578818,0.43392635746512265,0.9461645993195497,0.18829208370294942,0.7100888470295297,0.33904748903853826,-0.048716966788526106,0.7960223715134869,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'friedman_mse'}
46,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'absolute_error'}
47,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'poisson'}
48,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'squared_error'}
