,model,hyperparams,roc_auc,accuracy,precision,recall,f1
102,LogisticRegression,"{'C': 100, 'penalty': 'l1', 'solver': 'saga'}",0.6193297710751872,0.6335048599199543,0.5482954545454546,0.5444287729196051,0.5463552724699222
100,LogisticRegression,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.6193297710751872,0.6335048599199543,0.5482954545454546,0.5444287729196051,0.5463552724699222
105,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 200}",0.6193243463165888,0.649514008004574,0.5863309352517986,0.459802538787024,0.5154150197628459
111,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200}",0.6190998969295867,0.649514008004574,0.5866425992779783,0.45839210155148097,0.5146476642913697
104,LogisticRegression,"{'C': 100, 'penalty': 'l2', 'solver': 'saga'}",0.6188490018444179,0.6329331046312179,0.5475177304964539,0.5444287729196051,0.545968882602546
2,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.6173734675056959,0.6346483704974271,0.5517751479289941,0.5260930888575458,0.5386281588447653
159,GradientBoostingClassifier,"{'n_estimators': 10, 'learning_rate': 0.1, 'max_depth': 3}",0.616984241076272,0.6477987421383647,0.5843920145190563,0.4541607898448519,0.5111111111111112
136,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 500}",0.6166933383964414,0.6546598056032018,0.6082474226804123,0.41607898448519043,0.49413735343383575
16,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.6161583215796897,0.624928530588908,0.5350993377483444,0.5698166431593794,0.551912568306011
13,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.6161583215796897,0.624928530588908,0.5350993377483444,0.5698166431593794,0.551912568306011
5,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.6158992893566235,0.6323613493424814,0.5482456140350878,0.5289139633286318,0.5384063173007897
91,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.615608386676793,0.6392224128073185,0.5631067961165048,0.4908321579689704,0.5244913338357197
92,LogisticRegression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.6149031680590213,0.6386506575185821,0.5623987034035657,0.4894217207334274,0.5233785822021116
114,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 200}",0.6147370348269502,0.6558033161806747,0.6170678336980306,0.39774330042313116,0.48370497427101194
101,LogisticRegression,"{'C': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.6143959531300857,0.6214979988564894,0.5304798962386511,0.5768688293370945,0.5527027027027026
8,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.6142657589237279,0.6272155517438537,0.5397489539748954,0.5458392101551481,0.5427769985974754
15,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.6140440219160247,0.6192109777015438,0.5272496831432193,0.5867418899858956,0.5554072096128171
24,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.6138182163393728,0.6232132647226987,0.5333333333333333,0.5641748942172073,0.5483207676490747
0,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.6136880221330151,0.6289308176100629,0.5431034482758621,0.5331452750352609,0.5380782918149466
14,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.6130811272648367,0.6220697541452258,0.5318302387267905,0.5655853314527504,0.5481886534518114
17,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.6128566778778344,0.6220697541452258,0.5319148936170213,0.5641748942172073,0.5475701574264202
94,LogisticRegression,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.6110237875664533,0.6375071469411092,0.5632377740303541,0.4710860366713681,0.5130568356374808
21,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.6101619290441574,0.6260720411663808,0.5397973950795948,0.5260930888575458,0.5328571428571428
23,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.6099707063035695,0.6226415094339622,0.5339805825242718,0.5430183356840621,0.5384615384615384
9,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.6093319409786264,0.6152086906803887,0.5229591836734694,0.5782792665726375,0.5492297387809779
93,LogisticRegression,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.6093265162200282,0.6312178387650086,0.550314465408805,0.4936530324400564,0.520446096654275
150,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 200}",0.6091590267983076,0.6523727844482562,0.6150341685649203,0.38081805359661497,0.47038327526132406
4,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.6077580828903113,0.6232132647226987,0.5359195402298851,0.5260930888575458,0.5309608540925267
18,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.6076638277096669,0.6174957118353345,0.5267379679144385,0.5557122708039492,0.5408373369938229
20,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.6073078279266573,0.6272155517438537,0.5435114503816794,0.5021156558533145,0.5219941348973607
