,model,hyperparams,mse,rmse,mae,r2
25,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.2462237531915341,1.116343922450216,0.8535559278481268,-0.3531127110335577
295,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.2454550136666265,1.1159995580942792,0.8307245258752687,-0.35227803650583933
296,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",1.2454550136666265,1.1159995580942792,0.8307245258752687,-0.35227803650583933
294,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",1.2454550136666265,1.1159995580942792,0.8307245258752687,-0.35227803650583933
4,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.2414846311916463,1.114219292236338,0.8496782246871749,-0.34796711322195684
156,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 1.0, 'max_depth': 5}",1.2362858658842644,1.1118839264438822,0.8371755675334523,-0.34232244836856784
9,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.2282603685623028,1.1082690867123846,0.8252908218585561,-0.33360860190969466
144,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 1.0, 'max_depth': 5}",1.2122659556440725,1.1010294980808064,0.8281074603973523,-0.31624234374798665
5,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'squared_error'}",1.211088771064516,1.1004947846602982,0.8381946640539311,-0.31496419171970813
15,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'squared_error'}",1.210782718328743,1.1003557235406844,0.8306304680367504,-0.3146318887556856
8,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'squared_error'}",1.2097923618437587,1.0999056149705568,0.8393602846485289,-0.31355658911960105
13,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.20490601321564,1.0976821093630158,0.8160442525669028,-0.30825113701092755
168,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 1.0, 'max_depth': 5}",1.1933359114307425,1.0923991538951054,0.8221484452450838,-0.2956886643787029
336,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",1.190797820870362,1.091236830788973,0.8373398427045745,-0.29293288108520543
372,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",1.190797820870362,1.091236830788973,0.8373398427045745,-0.29293288108520543
23,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'squared_error'}",1.1895805121736418,1.0906789225861302,0.8338144347056016,-0.2916111634830769
338,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",1.1877150311020268,1.089823394455279,0.8367680874158381,-0.2895856795812253
265,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.1877150311020268,1.089823394455279,0.8367680874158381,-0.2895856795812253
302,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",1.1877150311020268,1.089823394455279,0.8367680874158381,-0.2895856795812253
374,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",1.1877150311020268,1.089823394455279,0.8367680874158381,-0.2895856795812253
373,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.1877150311020268,1.089823394455279,0.8367680874158381,-0.2895856795812253
301,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.1877150311020268,1.089823394455279,0.8367680874158381,-0.2895856795812253
337,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.1877150311020268,1.089823394455279,0.8367680874158381,-0.2895856795812253
16,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'squared_error'}",1.1836861503835416,1.0879734143735047,0.8216457929566285,-0.2852112406432261
26,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'squared_error'}",1.1826089375858269,1.0874782469483364,0.8327590876825621,-0.2840416350043167
155,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 1.0, 'max_depth': 3}",1.1773730796583564,1.0850682373281213,0.826704417996235,-0.27835669608650004
266,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",1.1718989452933952,1.0825428145313216,0.8311086959686984,-0.27241304369489283
2,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'squared_error'}",1.1649819962597534,1.0793433171423046,0.8255332250629425,-0.2649028260192763
17,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'squared_error'}",1.1630709782788506,1.0784576849737084,0.8178566088981424,-0.26282789949476504
20,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'squared_error'}",1.1583948329263385,1.0762875233534663,0.8174708408686877,-0.25775067985509725
300,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",1.1537740227844056,1.074138735352378,0.8034522894110899,-0.25273354154240657
229,SVR,"{'C': 0.1, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.153699382929777,1.0741039907428782,0.823757650169482,-0.2526524998066919
167,GradientBoostingRegressor,"{'n_estimators': 200, 'learning_rate': 1.0, 'max_depth': 3}",1.1392276772686325,1.0673460906700472,0.8185478413538606,-0.23693955192692107
377,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",1.1252719669047244,1.0607883704607268,0.8148185403538191,-0.22178685640451068
305,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",1.1252719669047244,1.0607883704607268,0.8148185403538191,-0.22178685640451068
304,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.1252719669047244,1.0607883704607268,0.8148185403538191,-0.22178685640451068
376,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.1252719669047244,1.0607883704607268,0.8148185403538191,-0.22178685640451068
375,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",1.1252719669047244,1.0607883704607268,0.8148185403538191,-0.22178685640451068
341,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",1.1252719669047244,1.0607883704607268,0.8148185403538191,-0.22178685640451068
268,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.1252719669047244,1.0607883704607268,0.8148185403538191,-0.22178685640451068
340,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.1252719669047244,1.0607883704607268,0.8148185403538191,-0.22178685640451068
339,SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",1.1252719669047244,1.0607883704607268,0.8148185403538191,-0.22178685640451068
269,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",1.1240464726737638,1.060210579400981,0.812978323287717,-0.22045625119259382
14,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'squared_error'}",1.1211854079190573,1.0588604289135832,0.7996510134886956,-0.2173497921183154
11,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'squared_error'}",1.1191337346980668,1.0578911733718486,0.8023933935688771,-0.21512214631466264
303,SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",1.0880200649206981,1.0430820029703791,0.7864595430033128,-0.18133984842887685
232,SVR,"{'C': 0.1, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.0812324341722679,1.0398232706437511,0.7969558528624061,-0.17397004070375366
143,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 1.0, 'max_depth': 3}",1.0669808657878037,1.0329476587842212,0.7720942547487177,-0.15849611133609653
334,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",1.0588947700130773,1.0290261269827299,0.789439169563083,-0.14971646887831436
369,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",1.0588947700130773,1.0290261269827299,0.789439169563083,-0.14971646887831436
335,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",1.0588947700130773,1.0290261269827299,0.789439169563083,-0.14971646887831436
297,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",1.0588947700130773,1.0290261269827299,0.789439169563083,-0.14971646887831436
370,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",1.0588947700130773,1.0290261269827299,0.789439169563083,-0.14971646887831436
333,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",1.0588947700130773,1.0290261269827299,0.789439169563083,-0.14971646887831436
371,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",1.0588947700130773,1.0290261269827299,0.789439169563083,-0.14971646887831436
298,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",1.0588947700130773,1.0290261269827299,0.789439169563083,-0.14971646887831436
299,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",1.0588947700130773,1.0290261269827299,0.789439169563083,-0.14971646887831436
175,SVR,"{'C': 0.01, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
201,SVR,"{'C': 0.01, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
207,SVR,"{'C': 0.01, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
206,SVR,"{'C': 0.01, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
205,SVR,"{'C': 0.01, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
204,SVR,"{'C': 0.01, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
203,SVR,"{'C': 0.01, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
202,SVR,"{'C': 0.01, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
182,SVR,"{'C': 0.01, 'kernel': 'rbf', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
208,SVR,"{'C': 0.01, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
174,SVR,"{'C': 0.01, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale', 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
181,SVR,"{'C': 0.01, 'kernel': 'rbf', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
180,SVR,"{'C': 0.01, 'kernel': 'rbf', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
179,SVR,"{'C': 0.01, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",1.0403871303344858,1.0199936913209247,0.768466919334978,-0.12962142379816943
