,Unnamed: 0.1,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
42,32.0,XGBClassifier,"{'max_depth': None, 'eta': 0.1, 'gamma': 0.01}",0.8023387108156554,0.9976851851851852,0.8044914134742405,0.9973544973544972,0.7817109144542773,0.9938650306748468,0.7817109144542773,1.0,0.7817109144542773,0.9969230769230768
43,31.0,XGBClassifier,"{'max_depth': None, 'eta': 0.1, 'gamma': 0.1}",0.8023387108156554,0.9976851851851852,0.8044914134742405,0.9973544973544972,0.7817109144542773,0.9938650306748468,0.7817109144542773,1.0,0.7817109144542773,0.9969230769230768
45,33.0,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8020599568107719,0.9934413580246914,0.8044914134742405,0.9933862433862434,0.7833827893175074,0.9907692307692308,0.7787610619469026,0.9938271604938272,0.7810650887573964,0.9922958397534668
46,34.0,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'logistic', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'adam'}",0.8020140858985759,0.8638117283950617,0.7992073976221928,0.8597883597883598,0.7493333333333333,0.8027777777777778,0.8289085545722714,0.8919753086419753,0.7871148459383753,0.8450292397660818
49,35.0,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8017000465766185,0.996141975308642,0.8031704095112285,0.996031746031746,0.7761627906976745,0.9938461538461538,0.7876106194690266,0.9969135802469136,0.7818448023426062,0.99537750385208
50,36.0,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.8016541756644225,0.8985339506172839,0.797886393659181,0.8928571428571429,0.743455497382199,0.8328767123287671,0.8377581120943953,0.9382716049382716,0.7877947295423025,0.8824383164005807
51,37.0,XGBClassifier,"{'max_depth': 5, 'eta': 0.1, 'gamma': 0.1}",0.801421292571735,0.9976851851851852,0.8031704095112285,0.9973544973544972,0.7777777777777778,0.9938650306748468,0.7846607669616519,1.0,0.7812041116005873,0.9969230769230768
52,39.0,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.801421292571735,0.9888117283950616,0.8031704095112285,0.988095238095238,0.7777777777777778,0.9787234042553192,0.7846607669616519,0.9938271604938272,0.7812041116005873,0.9862174578866768
53,38.0,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.801421292571735,0.9776234567901234,0.8031704095112285,0.9775132275132276,0.7777777777777778,0.9694189602446484,0.7846607669616519,0.9783950617283952,0.7812041116005873,0.9738863287250384
54,40.0,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.8012942654302692,0.8796296296296297,0.7965653896961691,0.8716931216931217,0.7377892030848329,0.7994722955145118,0.8466076696165191,0.9351851851851852,0.7884615384615384,0.8620199146514936
55,41.0,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'adam'}",0.8011778238839254,0.8695987654320988,0.7992073976221928,0.8650793650793651,0.7533875338753387,0.8066298342541437,0.8200589970501475,0.9012345679012346,0.7853107344632767,0.8513119533527698
56,42.0,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'logistic', 'alpha': 0.01, 'max_iter': 1000, 'solver': 'adam'}",0.8010966676546556,0.8773148148148148,0.797886393659181,0.8703703703703703,0.746031746031746,0.8021390374331551,0.831858407079646,0.925925925925926,0.7866108786610879,0.8595988538681948
57,43.0,SVC,"{'C': 1, 'kernel': 'poly', 'gamma': 'scale'}",0.8010613823375817,0.9097222222222222,0.8018494055482166,0.91005291005291,0.7707736389684814,0.8855421686746988,0.7935103244837758,0.9074074074074074,0.7819767441860465,0.8963414634146342
58,44.0,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'sgd'}",0.8009449407912379,0.8657407407407407,0.8044914134742405,0.8664021164021164,0.790273556231003,0.8328358208955224,0.7669616519174042,0.8611111111111112,0.778443113772455,0.8467374810318665
