,model,mse,rmse,mae,r2
23,DecisionTreeRegressor,1.0021625172352773,1.0010806746887473,0.7340374682906754,-0.11790462222436271
24,DecisionTreeRegressor,0.9347400703040256,0.9668195645020976,0.7223407525947263,-0.04269539840100944
25,DecisionTreeRegressor,0.9442040443543009,0.9717016231098418,0.731436695035519,-0.05325238906216634
26,DecisionTreeRegressor,0.9264941882201532,0.9625456811082543,0.7217985320466415,-0.033497180010933825
27,RandomForestRegressor,0.6009622625103901,0.7752175581798894,0.5905599477419996,0.32963119305623223
28,RandomForestRegressor,0.530291032066947,0.7282108431401905,0.5507132308091808,0.40846441003680756
29,RandomForestRegressor,0.5516160217138096,0.7427085711864443,0.5677224405110225,0.3846765472050572
30,RandomForestRegressor,0.5621222483529508,0.7497481232740438,0.5751789584166376,0.3729569317534295
31,RandomForestRegressor,0.5638962330151194,0.750930245106108,0.5677840011441192,0.37097806543236167
32,RandomForestRegressor,0.5447977315587862,0.7381041468240008,0.5591104658653828,0.39228229771845236
33,RandomForestRegressor,0.5548779442577028,0.7449012983326736,0.5618956787887639,0.38103789755847506
34,RandomForestRegressor,0.5804607230811352,0.7618797300631742,0.5808168154754452,0.35250050346898487
35,RandomForestRegressor,0.5530305984729368,0.7436602708716775,0.5588068730917735,0.3830985976506456
36,RandomForestRegressor,0.5750287057863297,0.7583064722039037,0.5770551215753734,0.35855987721069915
37,RandomForestRegressor,0.5328342977236435,0.7299549970536838,0.5604491672518407,0.40562741665073576
38,RandomForestRegressor,0.5922208020008815,0.7695588359579022,0.583183252203401,0.3393822253893216
39,RandomForestRegressor,0.5760203556875088,0.7589600488085712,0.5770558794520474,0.35745369933127225
40,RandomForestRegressor,0.5421737034956713,0.7363244553155024,0.5644244084728071,0.39520938095111524
41,RandomForestRegressor,0.5582837942333295,0.7471839092441228,0.5708527769844763,0.37723869796272524
42,RandomForestRegressor,0.5707940477090607,0.7555091314531286,0.5782966424115025,0.3632836059041036
43,RandomForestRegressor,0.550595930230386,0.7420215160157999,0.5696211093740503,0.3858144514519223
