,model,roc_auc,accuracy,precision,recall,f1
142,MLPClassifier,0.6895531983285118,0.7031963470319634,0.6568047337278107,0.6065573770491803,0.6306818181818182
43,RandomForestClassifier,0.6892639022822243,0.7100456621004566,0.6866666666666666,0.5628415300546448,0.6186186186186187
141,MLPClassifier,0.6892317582770813,0.680365296803653,0.5938864628820961,0.7431693989071039,0.6601941747572817
193,SVC,0.6891353262616522,0.7009132420091324,0.6494252873563219,0.6174863387978142,0.6330532212885155
37,RandomForestClassifier,0.6888460302153648,0.7077625570776256,0.6774193548387096,0.5737704918032787,0.6213017751479291
49,RandomForestClassifier,0.6884924461587913,0.7100456621004566,0.6891891891891891,0.5573770491803278,0.6163141993957703
121,MLPClassifier,0.6882031501125041,0.7168949771689498,0.7286821705426356,0.5136612021857924,0.6025641025641025
74,RandomForestClassifier,0.6880745740919318,0.7077625570776256,0.6797385620915033,0.5683060109289617,0.619047619047619
157,MLPClassifier,0.6878495660559305,0.7191780821917808,0.7459016393442623,0.4972677595628415,0.59672131147541
69,RandomForestClassifier,0.6877209900353584,0.7100456621004566,0.6917808219178082,0.5519125683060109,0.6139817629179332
56,RandomForestClassifier,0.6877209900353584,0.7100456621004566,0.6917808219178082,0.5519125683060109,0.6139817629179332
59,RandomForestClassifier,0.6873031179684989,0.7077625570776256,0.6821192052980133,0.5628415300546448,0.6167664670658682
167,GradientBoostingClassifier,0.6872388299582127,0.7031963470319634,0.6625766871165644,0.5901639344262295,0.6242774566473989
168,GradientBoostingClassifier,0.6864673738347797,0.7031963470319634,0.6645962732919255,0.5846994535519126,0.622093023255814
64,RandomForestClassifier,0.6857602057216329,0.7077625570776256,0.6870748299319728,0.5519125683060109,0.6121212121212121
44,RandomForestClassifier,0.6857602057216329,0.7077625570776256,0.6870748299319728,0.5519125683060109,0.6121212121212121
170,GradientBoostingClassifier,0.6856959177113469,0.7031963470319634,0.6666666666666666,0.5792349726775956,0.6198830409356724
41,RandomForestClassifier,0.6854066216650595,0.7100456621004566,0.7,0.5355191256830601,0.6068111455108359
147,MLPClassifier,0.6844101575056252,0.7214611872146118,0.7850467289719626,0.45901639344262296,0.5793103448275863
71,RandomForestClassifier,0.6842172934747669,0.7077625570776256,0.6923076923076923,0.5409836065573771,0.607361963190184
38,RandomForestClassifier,0.6837994214079074,0.7054794520547946,0.6824324324324325,0.5519125683060109,0.6102719033232628
176,GradientBoostingClassifier,0.6837351333976213,0.7009132420091324,0.6625,0.5792349726775956,0.6180758017492711
98,LogisticRegression,0.6814850530376084,0.7054794520547946,0.6901408450704225,0.5355191256830601,0.6030769230769231
136,MLPClassifier,0.6809064609450338,0.7191780821917808,0.7884615384615384,0.44808743169398907,0.5714285714285715
161,GradientBoostingClassifier,0.6807135969141753,0.7054794520547946,0.6928571428571428,0.5300546448087432,0.6006191950464396
52,RandomForestClassifier,0.6806493089038894,0.7009132420091324,0.6710526315789473,0.5573770491803278,0.608955223880597
102,LogisticRegression,0.6802957248473159,0.7031963470319634,0.6827586206896552,0.5409836065573771,0.6036585365853658
100,LogisticRegression,0.6802957248473159,0.7031963470319634,0.6827586206896552,0.5409836065573771,0.6036585365853658
63,RandomForestClassifier,0.6794599807135969,0.6986301369863014,0.6645161290322581,0.5628415300546448,0.6094674556213018
11,DecisionTreeClassifier,0.6789135326261653,0.6872146118721462,0.625,0.6284153005464481,0.6267029972752044
155,MLPClassifier,0.6788813886210221,0.7123287671232876,0.7435897435897436,0.47540983606557374,0.5800000000000001
194,SVC,0.6786242365798779,0.6940639269406392,0.6484848484848484,0.5846994535519126,0.6149425287356322
53,RandomForestClassifier,0.6782706525233043,0.6963470319634704,0.6582278481012658,0.5683060109289617,0.6099706744868035
104,LogisticRegression,0.6775634844101576,0.7009132420091324,0.6805555555555556,0.5355191256830601,0.5993883792048931
42,RandomForestClassifier,0.6775634844101576,0.7009132420091324,0.6805555555555556,0.5355191256830601,0.5993883792048931
9,DecisionTreeClassifier,0.6773063323690132,0.682648401826484,0.6145833333333334,0.644808743169399,0.6293333333333334
