model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
0,1.1315354234122745,1.109063926699417,1.2803724144367954,1.2300227935059296,0.907515873568282,0.8799158553352219,0.2682360170509803,0.3252036968884925,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
12,1.083888880053964,1.0522892875021868,1.1748151043046364,1.1073127445918598,0.875721050660793,0.8478099726156753,0.32856458772365515,0.392523008204529,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
13,1.083888880053964,1.0522892875021868,1.1748151043046364,1.1073127445918598,0.875721050660793,0.8478099726156753,0.32856458772365515,0.392523008204529,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}
14,1.083888880053964,1.0522892875021868,1.1748151043046364,1.1073127445918598,0.875721050660793,0.8478099726156753,0.32856458772365515,0.392523008204529,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}
15,0.7991324237799108,0.6319045534024466,0.6386126307363549,0.39930336461074545,0.6319009176211454,0.5094485131255901,0.635017345765961,0.7809402917719033,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.1, 'min_impurity_decrease': 0}
16,0.8018692121409368,0.6266473093790563,0.6429942333795267,0.3926868503520108,0.6281780462555068,0.5064429303116147,0.6325131532625028,0.784570142685928,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}
17,0.7872860925542292,0.6268334905349746,0.6198193915293064,0.3929202248562601,0.6211812550660794,0.5060393414542022,0.6457581391629452,0.7844421123327188,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}
18,0.8464308134311878,0.4194499414396542,0.7164451219257822,0.17593825337372934,0.6356968682819383,0.33279044796978274,0.5905341835910927,0.9034794447880969,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.5, 'min_impurity_decrease': 0}
19,0.8591194328493277,0.4174631960309747,0.7380861998993505,0.174275520040396,0.6461266224669604,0.33163729575070816,0.578165781058604,0.9043916281332491,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}
20,0.8597037523179544,0.4185059452125644,0.7390905417495707,0.17514722617826195,0.6553550158590309,0.3321574107648725,0.5775917752582035,0.9039134060366041,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.5, 'min_impurity_decrease': 0.2}
21,1.107325508329483,0.3641222894366256,1.226169781397148,0.13258504166456975,0.8558904528634361,0.29153467233238894,0.29921414044085637,0.9272632211081822,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0}
